timestamp_utc,timestamp_ms,open,high,low,close,volume
2025-09-18 00:00:00,1758153600000,46235,46354,46058,46320,336
2025-09-17 00:00:00,1758067200000,46073,46379,45962,46209,5762
2025-09-16 00:00:00,1757980800000,45805,46293,45701,46052,11015
2025-09-15 00:00:00,1757894400000,45886,45989,45680,45815,19591
2025-09-14 00:00:00,1757808000000,45860,46008,45797,45884,28996
2025-09-11 00:00:00,1757548800000,46150,46166,45831,45852,68540
2025-09-10 00:00:00,1757462400000,45506,46176,45503,46142,93183
2025-09-09 00:00:00,1757376000000,45702,45844,45414,45524,88799
2025-09-08 00:00:00,1757289600000,45580,45807,45471,45698,84347
2025-09-07 00:00:00,1757203200000,45475,45591,45321,45586,71984
2025-09-04 00:00:00,1756944000000,45697,45832,45258,45466,96983
2025-09-03 00:00:00,1756857600000,45249,45717,45223,45697,75011
2025-09-02 00:00:00,1756771200000,45323,45376,45035,45275,81721
2025-08-31 00:00:00,1756598400000,45685,45752,45000,45320,132715
2025-08-28 00:00:00,1756339200000,45656,45687,45424,45633,70152
2025-08-27 00:00:00,1756252800000,45655,45801,45501,45662,69349
2025-08-26 00:00:00,1756166400000,45510,45700,45446,45656,64066
2025-08-25 00:00:00,1756080000000,45392,45530,45183,45528,66234
2025-08-24 00:00:00,1755993600000,45721,45766,45335,45392,70018
2025-08-21 00:00:00,1755734400000,44891,45841,44746,45728,118440
2025-08-20 00:00:00,1755648000000,45003,45029,44642,44881,78197
2025-08-19 00:00:00,1755561600000,45007,45122,44830,45011,96698
2025-08-18 00:00:00,1755475200000,44993,45289,44834,45025,77365
2025-08-17 00:00:00,1755388800000,45029,45116,44897,44983,60519
2025-08-14 00:00:00,1755129600000,45120,45371,44981,45010,87005
2025-08-13 00:00:00,1755043200000,45025,45142,44770,45129,86301
2025-08-12 00:00:00,1754956800000,44566,45070,44504,45013,81666
2025-08-11 00:00:00,1754870400000,44060,44604,44026,44550,92105
2025-08-10 00:00:00,1754784000000,44312,44413,44005,44068,70749
2025-08-07 00:00:00,1754524800000,44113,44385,44083,44349,63621
2025-08-06 00:00:00,1754438400000,44298,44615,43900,44117,100844
2025-08-05 00:00:00,1754352000000,44243,44482,44125,44316,70793
2025-08-04 00:00:00,1754265600000,44393,44432,44040,44261,89439
2025-08-03 00:00:00,1754179200000,43675,44392,43633,44390,82693
2025-07-31 00:00:00,1753920000000,44269,44323,43464,43705,134845
2025-07-30 00:00:00,1753833600000,44725,44852,44208,44272,105993
2025-07-29 00:00:00,1753747200000,44758,44909,44418,44670,84654
2025-07-28 00:00:00,1753660800000,45000,45121,44735,44774,82610
2025-07-27 00:00:00,1753574400000,45245,45312,44911,45007,62193
2025-07-24 00:00:00,1753315200000,44935,45126,44818,45080,67761
2025-07-23 00:00:00,1753228800000,45111,45132,44865,44938,78576
2025-07-22 00:00:00,1753142400000,44746,45234,44718,45104,95829
2025-07-21 00:00:00,1753056000000,44594,44749,44423,44743,79738
2025-07-20 00:00:00,1752969600000,44537,44815,44491,44594,68761
2025-07-17 00:00:00,1752710400000,44735,44858,44423,44530,78373
2025-07-16 00:00:00,1752624000000,44431,44774,44354,44724,77840
2025-07-15 00:00:00,1752537600000,44171,44481,43973,44416,100294
2025-07-14 00:00:00,1752451200000,44672,44827,44182,44190,92507
2025-07-13 00:00:00,1752364800000,44452,44706,44324,44676,60862
2025-07-10 00:00:00,1752105600000,44871,44942,44508,44557,78004
