Topic,Asset,Interval,Target param,RF_R2,RF_RMSE,Target_Std
China,X_BTCUSD,5m,Return,-0.17239798524290206,0.0021875043651319714,0.002020279218932121
China,X_BTCUSD,15m,Return,-0.023992155271463034,0.003025455093563847,0.002989801781703522
China,X_BTCUSD,30m,Return,-0.1452934059911477,0.0032071880870887955,0.002996857204145839
China,X_BTCUSD,1h,Return,-0.5804578018269215,0.005338680826227447,0.004246611240213802
China,X_BTCUSD,1d,Return,0.07342902350726188,0.03196205969888965,0.03320438280827655
China,CL,5m,Return,-0.08505621098636751,0.001014968127479873,0.0009743753441177018
China,CL,15m,Return,-0.028904636544552664,0.0031159081667308493,0.0030718293625546754
China,CL,30m,Return,-0.24111038227360426,0.002692005017373535,0.0024164102022020436
China,CL,1h,Return,-0.4154200747159389,0.004563811909988184,0.003836057090294669
China,CL,1d,Return,-0.02544277624689495,0.022468431510044743,0.02218794297160565
China,ES,5m,Return,-0.19728002261526623,0.001122026043452519,0.0010254277579306568
China,ES,15m,Return,-0.051235589685453276,0.0019489449499683522,0.001900857428710979
China,ES,30m,Return,-0.1524719905127936,0.0016572202211556381,0.001543707571506511
China,ES,1h,Return,-0.16180755464124563,0.002308180210176406,0.002141423750351954
China,ES,1d,Return,0.7473995262712698,0.0028879810287465537,0.00574615392755743
China,YM,5m,Return,-0.11297683364990752,0.0011616224561085732,0.0011010877645792466
China,YM,15m,Return,-0.08695269343266143,0.001980836793507806,0.0018999552532324847
China,YM,30m,Return,-0.4032216455809716,0.00160587784977563,0.001355655592964044
China,YM,1h,Return,-0.040335739383390745,0.001898992140602859,0.0018618144992431005
China,YM,1d,Return,0.617875125273708,0.004122006760528524,0.006668160507292878
China,ZN,5m,Return,0.02235953621472908,0.000267272216876887,0.0002703113190076832
China,ZN,15m,Return,-0.025592990548259253,0.000473072889430673,0.00046713298919241053
China,ZN,30m,Return,-0.6143787329756922,0.0005314861939545426,0.00041830135728945957
China,ZN,1h,Return,0.05449344889853902,0.0005055551761112304,0.0005199197200588977
China,ZN,1d,Return,-0.5045159949351057,0.002112778926540994,0.0017224858060491577
China,I_NDX,5m,Return,-0.1614350458162317,0.001194177369049506,0.0011080806558170387
China,I_NDX,15m,Return,-0.44450783371587854,0.0024489148949731654,0.002037575650279578
China,I_NDX,30m,Return,-0.38274770368183963,0.002903856802831366,0.0024694698224683033
China,I_NDX,1h,Return,-0.23161245375582218,0.0024940945368638863,0.0022473767065680134
China,I_NDX,1d,Return,-0.21087279287110117,0.012175654923272976,0.011064787315937833
China,X_BTCUSD,5m,Vol,-0.9097605331436527,0.0003492436319186281,0.00025271966601718345
China,X_BTCUSD,15m,Vol,-0.6286891416301816,0.00014076398382703277,0.00011029922197072352
China,X_BTCUSD,30m,Vol,-0.2306002902109041,7.112067340593928e-05,6.411170895000223e-05
China,X_BTCUSD,1h,Vol,-0.17306874062386424,4.389704936390534e-05,4.0529719506373424e-05
China,X_BTCUSD,1d,Vol,-0.317059927272727,1.008143661814695e-05,8.784552768749172e-06
China,CL,5m,Vol,-0.4418718027847104,0.0002690383630902584,0.00022405306405002385
China,CL,15m,Vol,-0.13060617507865468,0.00011319892313975428,0.00010646003849294048
China,CL,30m,Vol,-0.1660247442416376,8.335788967715395e-05,7.719564992502452e-05
China,CL,1h,Vol,-0.17032443668841246,0.00010177011500014558,9.407346239259302e-05
